code,Z_value
GM1680,.
GM0358,.
GM0197,2.64703170161466
GM0059,0.352809302802303
GM0482,-0.868933444221128
GM0613,.
GM0361,-4.20332243196331
GM0141,2.04254826711057
GM0034,-2.847487686526
GM1723,.
GM0484,-1.64276235467667
GM1959,-0.419568901586289
GM0307,-2.13634314064969
GM0362,-2.34601259130208
GM0363,-3.14439701570687
GM0200,0.584556798809591
GM0202,1.19627999171764
GM0106,0.168440853602087
GM0743,.
GM0744,1.442412190904
GM0308,-2.28894493953901
GM0489,-0.869898005940101
GM0203,-1.51047699826528
GM0888,3.82279305177438
GM1954,4.02206118553108
GM0889,2.94888017002955
GM1945,.
GM1724,3.54956380634891
GM0893,3.30084913447967
GM0373,-2.93216973411688
GM0748,-0.0966110898140195
GM1859,1.38365609224876
GM1721,1.64455630207976
GM0753,2.30797021850773
GM0209,0.996460528809151
GM0375,-3.36201733819788
GM1728,2.91668441151311
GM0376,.
GM0377,-3.27143787329171
GM1901,-0.301788462690945
GM0755,2.13044670271183
GM1681,.
GM0147,2.39029900815612
GM0654,0.0581570098003835
GM0757,1.40768091844812
GM0758,0.18210582751442
GM1876,1.8070948614379
GM0213,1.63764011123161
GM0899,4.04730466219638
GM0312,-0.765337785733925
GM0313,-0.78609033751309
GM0214,-1.07033507315712
GM0502,.
GM0383,-3.51431245040506
GM0109,1.16523934112544
GM1706,2.94732069783008
GM0216,-0.171899050177814
GM0148,0.722330298527611
GM1891,-0.139364269357281
GM0310,-1.40289949261412
GM1940,-1.437318420918
GM0736,-2.19294562389701
GM1690,0.73209640523722
GM0503,-0.780322496328995
GM0400,-1.9866800544486
GM0762,3.73987482428424
GM0150,.
GM0384,-2.76401674925778
GM1980,.
GM1774,.
GM0221,2.11535358349599
GM0222,2.68236242754712
GM0766,1.09242359455522
GM0505,-1.18465137313635
GM0498,.
GM1719,-0.364348958883059
GM0303,-1.55900750023213
GM0225,-0.250467997256751
GM0226,1.9221900908682
GM1711,3.2555238827654
GM0385,-4.15898420664757
GM0228,0.129083872737896
GM0317,-2.43681560689113
GM1979,0.974236769669384
GM0770,.
GM1903,4.48804721682292
GM0772,2.8791293697515
GM0230,-0.140540354356708
GM0114,1.38996858422166
GM0388,-3.21889403426219
GM0153,1.99549207577335
GM0232,0.859509744969457
GM0233,-1.53412631275434
GM0777,.
GM0779,.
GM1771,2.56350858810682
GM1652,2.31591034430309
GM0907,.
GM0784,1.15737251430377
GM1924,-1.33448812842481
GM0664,0.269425311297518
GM0785,1.15612224708692
GM1942,-2.05975788288369
GM0512,-0.295287759199434
GM0513,-0.723392629841569
GM0518,-1.74493153251097
GM0014,0.669784147882124
GM1729,4.39199806868127
GM0158,.
GM0392,.
GM0394,-2.70894976306029
GM1655,-0.43826862335773
GM0160,1.12086556390488
GM0243,-1.16089185529463
GM0523,-0.417459370005344
GM0072,-1.27598909278001
GM0244,0.818531782119562
GM0396,-3.55293495246624
GM0397,-3.28091678116375
GM0246,.
GM0074,-1.104392323588
GM0917,3.6932664309261
GM1658,.
GM0399,-3.35054346889763
GM0163,1.15159177843311
GM0794,2.82005238071617
GM0531,.
GM0164,.
GM0796,0.649575439136325
GM1966,0.436612236013618
GM0252,1.75815860127415
GM0797,0.891341540648311
GM0534,-3.15043734818762
GM0798,.
GM0402,.
GM1963,-1.49376041564185
GM1735,1.84753995548488
GM1911,-2.7614720071221
GM0118,0.41373591214297
GM0405,.
GM1507,.
GM0321,0.192925765572799
GM0406,-2.36722801973964
GM0677,.
GM1884,.
GM0166,-0.914578642169604
GM0678,0.341903634752551
GM0537,-2.20140740768497
GM0928,3.7971923989907
GM1598,.
GM0542,-0.656145248928114
GM1931,-0.339454948579875
GM1659,.
GM1982,2.45988031729958
GM0882,3.67200241497199
GM0415,-3.24588359300756
GM1621,-0.734311568405459
GM0417,-2.28330869988657
GM0080,-1.44844119485579
GM0546,-2.23999879551959
GM0547,-2.33670729229362
GM1916,.
GM0995,-2.99920715778917
GM1640,2.87538927571026
GM0327,-1.23073385290753
GM1705,1.21097462555356
GM0553,-2.9157594559095
GM0262,1.66204582804843
GM0809,0.97336115347885
GM0331,-0.507098162386598
GM0168,2.14804539822407
GM0263,-0.23836325254326
GM1641,3.03043286885325
GM1991,1.8376555818287
GM0556,.
GM0935,3.35355359189444
GM0420,-3.47358989506946
GM0938,3.61414578981364
GM1948,.
GM0119,-0.152159480699697
GM0687,-0.763872833349043
GM1842,-1.0039520601983
GM1731,.
GM1952,0.869789058852227
GM1709,-0.43598016589902
GM1978,.
GM1955,2.63317048288811
GM0335,-0.736048972417652
GM0944,2.52044927738906
GM1740,-0.180712099235059
GM0946,.
GM0356,-0.656203812191932
GM0569,-1.54284486893728
GM0267,-2.24245411768597
GM0268,1.24030191997151
GM1930,.
GM1970,0.0193156919971601
GM1695,0.395905859023391
GM1699,0.0803103462298492
GM0171,-2.08646351953563
GM0575,-2.68423065161924
GM0820,.
GM0302,-0.413227220827096
GM0579,-2.08530983025077
GM0823,2.08372361462655
GM0824,1.43073430255579
GM1895,.
GM0269,-0.0378137712289258
GM0173,1.92555353442827
GM1773,1.30656965721748
GM0175,1.05404620761631
GM1586,2.29991745670514
GM0826,0.734193497166381
GM0085,-0.587205440770517
GM0431,-3.151988625648
GM0432,.
GM0086,0.177722047971616
GM0828,0.600785678021712
GM1509,3.01722107266627
GM0437,-2.34789679543173
GM0589,-0.468046870659672
GM1734,1.16866853302772
GM0590,-0.720974586086759
GM1894,2.64300370174305
GM0765,0.433952960804068
GM1926,-0.933013060960967
GM0439,.
GM0273,-1.51664258017837
GM0177,1.55569492975861
GM0703,-0.091498012218908
GM0274,1.37138245853891
GM1667,2.37343600020649
GM0275,1.96653088910978
GM0340,-0.175576929423758
GM0597,-0.989061622622735
GM1742,.
GM0603,-1.35207334714537
GM1669,3.59453867053225
GM0957,2.69084577829254
GM1674,0.115406117744164
GM0599,-0.761555425216952
GM0840,-0.322939533279406
GM0441,-3.02520599500433
GM0279,-0.763545214558107
GM0606,-0.885112379057806
GM1676,-0.374993391516069
GM0965,.
GM0845,1.43470387128226
GM1883,3.13081205513834
GM0610,-0.605170400280751
GM1714,-2.12529581030801
GM0090,-0.214527637189345
GM0342,-2.15704713924452
GM0847,3.02755196515246
GM0848,2.22447565239987
GM0037,0.675725351336113
GM0180,0.253080990439916
GM0532,-3.22225756742111
GM0851,-0.656620704083319
GM1708,-1.08051875419827
GM0971,3.18175284019262
GM1904,-1.75383960704651
GM1900,-1.84964285547388
GM0715,.
GM0093,-0.915315897754386
GM0448,-2.14329551444893
GM1525,-2.31929031185752
GM0716,-0.198137379627388
GM0281,-0.725851835315118
GM0855,0.678899709063371
GM0183,2.08803900998264
GM1700,.
GM1730,0.253322031933345
GM0737,-0.42027412438797
GM0450,-3.93221489719052
GM0451,-1.68104535903224
GM0184,-2.75367146275546
GM0344,.
GM1581,-0.496389204006273
GM0981,4.31704140069235
GM0994,3.76772855737832
GM0858,3.18647670299635
GM0047,0.705855880134171
GM0345,-0.378082815730183
GM0717,-1.85324166367544
GM0861,3.54840270453946
GM0453,-3.17873687339298
GM0983,.
GM0984,.
GM1961,-0.0638738614311606
GM0622,-1.10159082820821
GM0718,-1.88362412967401
GM0986,4.3297517547996
GM0626,-2.14394027301858
GM0285,-0.703785143714614
GM0865,0.817102108070989
GM1949,-0.672980334858708
GM0866,3.2576944304452
GM0867,0.439183266652838
GM0627,-0.876249487634949
GM0289,-0.350479529417466
GM0629,-2.02431532322561
GM0852,-3.51088353751155
GM0988,2.79345991382634
GM1960,-0.247485403152128
GM0668,-0.545102226331666
GM1969,0.510414899389266
GM1701,-0.0476153729163397
GM0293,.
GM1950,0.958298606908248
GM1783,-0.755791250459682
GM0098,-0.986931658747297
GM0189,1.78935849748874
GM0296,.
GM1696,-1.99289266606042
GM0352,-0.899734118274418
GM0294,2.87362272074386
GM0873,0.0253810324122684
GM0632,.
GM0880,-3.73325281990129
GM0351,.
GM0353,-0.687197580403309
GM0479,-3.2494255011368
GM0297,0.068088060044597
GM0473,-3.26771332127058
GM0050,-2.07477061241828
GM0355,-1.40291088556976
GM0299,.
GM0637,.
GM0638,-2.19374473764118
GM1892,.
GM0879,0.257629133837355
GM0301,1.58054920531171
GM1896,-0.632271371916712
GM0642,-1.03624848867447
GM0193,0.761481557839077
