code,Z_score
GM1680,NaN
GM0358,NaN
GM0197,1.47768255372434
GM0059,0.187593310572951
GM0482,-1.96441803232538
GM0613,NaN
GM0361,-2.65134463659994
GM0141,1.70178946026796
GM0034,-2.77779945371295
GM1723,NaN
GM0484,-2.63166699783359
GM1959,-1.16916782645456
GM0307,-1.96482172833293
GM0362,-3.27030372245388
GM0363,-3.45882158076643
GM0200,0.404876849420707
GM0202,0.517863273603422
GM0106,-0.159220674180145
GM0743,NaN
GM0744,0.498495197531158
GM0308,-2.93289175105493
GM0489,-1.79423380474487
GM0203,-0.857107255594996
GM0888,4.67148903001203
GM1954,4.76669778076341
GM0889,3.08171447941166
GM1945,NaN
GM1724,3.61989655298428
GM0893,2.37226571497562
GM0373,-2.46648341262085
GM0748,-0.842841268589003
GM1859,0.966354930202357
GM1721,0.922440101634834
GM0753,1.46133261031704
GM0209,0.545460126986432
GM0375,-3.65413172902528
GM1728,3.32769663034493
GM0376,NaN
GM0377,-3.45146386788726
GM1901,-2.47229776047277
GM0755,1.32096794642447
GM1681,NaN
GM0147,1.73327670237437
GM0654,0.390526434450651
GM0757,0.962980592807438
GM0758,-0.651134691222093
GM1876,1.48712390005991
GM0213,1.34932593892901
GM0899,4.66957594365621
GM0312,-1.71692488771644
GM0313,-0.233796107883955
GM0214,-0.336522217371253
GM0502,NaN
GM0383,-2.89168478846814
GM0109,0.586827038653717
GM1706,3.29278492261112
GM0216,-1.0109228188772
GM0148,0.63260173845587
GM1891,-0.25707896032679
GM0310,-2.94943813641689
GM1940,-0.462191161920725
GM0736,-3.26843412375619
GM1690,0.25284929272317
GM0503,-2.19562371057992
GM0400,-1.35206444767843
GM0762,2.64743029057295
GM0150,NaN
GM0384,-3.40181360561973
GM1980,NaN
GM1774,NaN
GM0221,0.888312606891797
GM0222,1.549679605894
GM0766,-0.875127213238511
GM0505,-1.63219349819147
GM0498,NaN
GM1719,-1.56957194464304
GM0303,-0.910335877024733
GM0225,-0.0674315201001829
GM0226,1.50490152477115
GM1711,4.16326330939494
GM0385,-3.53713085224997
GM0228,0.334830641834039
GM0317,-3.27214839735277
GM1979,0.514553579419583
GM0770,NaN
GM1903,4.84666805560659
GM0772,2.0137411615849
GM0230,0.0569589057984661
GM0114,1.16357767856118
GM0388,-2.58525940188721
GM0153,1.03684186687368
GM0232,0.618549351290757
GM0233,-1.38532369115172
GM0777,NaN
GM0779,NaN
GM1771,2.24489268432328
GM1652,1.67439270995363
GM0907,NaN
GM0784,-0.322961113820629
GM1924,-2.04037785747146
GM0664,-0.267702178223659
GM0785,0.889569046144256
GM1942,-3.26579510204635
GM0512,-1.56360071395656
GM0513,-2.11375872959446
GM0518,-3.05685773461236
GM0014,0.036700342637741
GM1729,4.53525736368702
GM0158,NaN
GM0392,NaN
GM0394,-3.44576889738777
GM1655,-0.887685888816132
GM0160,1.02373158823291
GM0243,-0.78489136346369
GM0523,-1.82750015009446
GM0072,-1.453387682039
GM0244,0.906158338003389
GM0396,-3.47574275772082
GM0397,-3.8195133494523
GM0246,NaN
GM0074,-0.622693855188199
GM0917,3.99060942203341
GM1658,NaN
GM0399,-2.60113724006946
GM0163,0.766893244210925
GM0794,2.13187899659812
GM0531,NaN
GM0164,NaN
GM0796,0.0553875043324389
GM1966,0.0834106543283181
GM0252,1.49337408715634
GM0797,-0.481376496357086
GM0534,-3.70263739025045
GM0798,NaN
GM0402,NaN
GM1963,-1.47902719061043
GM1735,0.92059703921337
GM1911,-2.22795421670384
GM0118,0.440808993309084
GM0405,NaN
GM1507,NaN
GM0321,-1.55172483963023
GM0406,-3.14843680444938
GM0677,NaN
GM1884,NaN
GM0166,-0.501077473275848
GM0678,-0.286316114085934
GM0537,-3.18813645567055
GM0928,3.77166102971629
GM1598,NaN
GM0542,-1.9399704532302
GM1931,-1.99933654750132
GM1659,NaN
GM1982,2.06268736148919
GM0882,4.1214824401717
GM0415,-3.35544853576087
GM1621,-1.81466288957366
GM0417,-3.26907533726318
GM0080,-0.968592970765669
GM0546,-3.027435819003
GM0547,-2.88600702452482
GM1916,NaN
GM0995,-2.36939162238715
GM1640,4.02678478877735
GM0327,-1.57134318457292
GM1705,0.873390368616832
GM0553,-3.5156657970604
GM0262,1.01112113796655
GM0809,-0.308497559867886
GM0331,-1.5598310758888
GM0168,1.13436112377453
GM0263,-0.386978133196518
GM1641,3.79706792713131
GM1991,0.836271317590475
GM0556,NaN
GM0935,4.14769223462616
GM0420,-2.18850272659499
GM0938,4.65115063650336
GM1948,NaN
GM0119,0.0547128101919221
GM0687,-0.241404642367815
GM1842,-2.25627509023183
GM1731,NaN
GM1952,0.419872912990819
GM1709,-1.24057877024145
GM1978,NaN
GM1955,1.62274024685949
GM0944,1.92419013987841
GM1740,-0.455569906703161
GM0946,NaN
GM0356,-1.83226218090899
GM0569,-3.08758033727208
GM0267,-2.22994751414437
GM0268,0.527271769711551
GM1930,NaN
GM1970,-0.376665618021174
GM1695,0.0100645907025075
GM1699,-0.429893474535168
GM0171,-1.03702273757978
GM0575,-3.6096501880357
GM0820,NaN
GM0302,-0.102752534960435
GM0579,-3.10755703922322
GM0823,1.61852721024167
GM0824,0.921135553140179
GM1895,NaN
GM0269,0.286330186290691
GM0173,1.65457004167961
GM1773,1.56895861283037
GM0175,1.02536389303171
GM1586,1.54498234101278
GM0826,-0.830711197888866
GM0085,-0.125524771564499
GM0432,NaN
GM0086,-0.282976702756732
GM0828,0.123454556168881
GM1509,1.55970470045555
GM0589,-2.09666972810759
GM1734,0.395964430908623
GM0590,-1.73859273848765
GM1894,3.00505926401494
GM0765,0.331855247579142
GM1926,-1.93962887945681
GM0439,NaN
GM0273,-1.7087757777061
GM0177,1.2607477944486
GM0703,0.167178029307179
GM0274,0.228166350636196
GM0275,1.33779887619767
GM0340,-0.906734805285995
GM0597,-1.59694814853751
GM1742,NaN
GM0603,-2.80948973021057
GM1669,3.67342311713413
GM0957,3.46867299033406
GM1674,-0.728563941592909
GM0599,-2.02786566287768
GM0840,-0.824377436566803
GM0441,-2.13911358563572
GM0279,-1.42637884106162
GM0606,-1.88991541580634
GM1676,-1.05893069114968
GM0965,NaN
GM0845,0.85242313944757
GM1883,3.94666243066309
GM0610,-2.0205143409423
GM1714,-0.388512375047108
GM0090,-0.934243952331026
GM0342,-2.91054706032589
GM0847,3.45056197944499
GM0848,1.45842207869664
GM0037,0.4220873465458
GM0180,0.414504088101089
GM0532,-2.37878121122249
GM0851,-0.756279943265864
GM1708,-0.44157213901982
GM0971,4.3032226892709
GM1904,-3.23752156694529
GM1900,-1.84791963068995
GM0715,NaN
GM0093,-0.500868967268019
GM0448,-0.980744876286523
GM1525,-3.16214287325628
GM0716,-0.823944384732662
GM0281,-0.587516614883307
GM0855,0.197525143171633
GM0183,1.39324894564451
GM1700,NaN
GM1730,-0.136223990158945
GM0737,-0.333245452892296
GM0450,-3.37173556376988
GM0451,-2.99497077338627
GM0184,-1.41892252227103
GM0344,NaN
GM1581,-1.07389317610948
GM0981,5.02807294026704
GM0994,4.35077609602981
GM0858,3.40147014606737
GM0047,0.609031164098972
GM0345,-1.23244522904994
GM0717,-0.287456899332294
GM0861,3.05277238047992
GM0453,-3.62213427196666
GM0983,NaN
GM0984,NaN
GM1961,-1.27919974611378
GM0622,-2.42268889940315
GM0718,-0.682084142974663
GM0986,4.70649371618483
GM0626,-3.11553107849379
GM0285,-1.29686278462378
GM0865,0.125013925526066
GM1949,-0.784854754734415
GM0866,3.33744356836975
GM0867,-0.801673261998432
GM0627,-2.1212816626991
GM0289,-0.419126214190479
GM0629,-3.33231484987303
GM0852,-3.05762211910169
GM0988,3.71420719199904
GM1960,-1.03233629425064
GM0668,-0.519215625477724
GM1969,-0.191859345963267
GM1701,-0.450959396993493
GM0293,NaN
GM1950,0.918486559393349
GM1783,-1.63982134448983
GM0098,-1.12663527349119
GM0189,1.74704290845499
GM0296,NaN
GM1696,-2.94110596557712
GM0352,-1.45847699793057
GM0294,1.79349103933729
GM0873,0.58308702466709
GM0632,NaN
GM0880,-3.22595646822935
GM0351,NaN
GM0353,-1.84649508753091
GM0479,-3.59767787289895
GM0297,-0.818055555236068
GM0473,-3.54846764487579
GM0050,-2.25258883431722
GM0355,-2.30047417728193
GM0299,NaN
GM0637,NaN
GM0638,-2.48849441539054
GM1892,NaN
GM0879,-0.57073418675864
GM0301,0.683132472558902
GM1896,0.0180535322426122
GM0642,-1.81529652784206
GM0193,0.732059679907178
